time	experiment	replicate	od
0	bt	A	0.008583691
4	bt	A	0.043991416
6	bt	A	0.146995708
8	bt	A	0.416309013
10	bt	A	0.77360515
12	bt	A	0.904506438
14	bt	A	0.980686695
16	bt	A	1
48	bt	A	0.879828326
0	bt	B	0.015005359
4	bt	B	0.048231511
6	bt	B	0.159699893
8	bt	B	0.422293676
10	bt	B	0.749196141
12	bt	B	0.897106109
14	bt	B	0.978563773
16	bt	B	1
48	bt	B	0.907824223
0	bt	C	0.014925373
4	bt	C	0.049040512
6	bt	C	0.16098081
8	bt	C	0.429637527
10	bt	C	0.760127932
12	bt	C	0.898720682
14	bt	C	0.984008529
16	bt	C	1
48	bt	C	0.892324094
0	bt	D	0.013001083
4	bt	D	0.046587216
6	bt	D	0.156013001
8	bt	D	0.423618635
10	bt	D	0.76056338
12	bt	D	0.923076923
14	bt	D	0.990249187
16	bt	D	1
48	bt	D	0.878656555
0	bt	E	0.005428882
4	bt	E	0.047774159
6	bt	E	0.156351792
8	bt	E	0.441910966
10	bt	E	0.774158523
12	bt	E	0.91422367
14	bt	E	0.992399566
16	bt	E	1
48	bt	E	0.876221498
0	bt	F	0.006535948
4	bt	F	0.049019608
6	bt	F	0.175381264
8	bt	F	0.470588235
10	bt	F	0.778867102
12	bt	F	0.918300654
14	bt	F	1
16	bt	F	1
48	bt	F	0.88453159
0	btri	A	0.008273009
4	btri	A	0.039296794
8	btri	A	0.432264736
12	btri	A	0.827300931
16	btri	A	1
24	btri	A	0.718717684
28	btri	A	0.672182006
32	btri	A	0.668045502
38	btri	A	0.912099276
48	btri	A	0.952430196
62	btri	A	0.957600827
72	btri	A	0.94622544
96	btri	A	0.934850052
120	btri	A	0.928645295
0	btri	B	0.005175983
4	btri	B	0.035196687
8	btri	B	0.421325052
12	btri	B	0.822981366
16	btri	B	1
24	btri	B	0.730848861
28	btri	B	0.68426501
32	btri	B	0.680124224
38	btri	B	0.902691511
48	btri	B	0.943064182
62	btri	B	0.956521739
72	btri	B	0.953416149
96	btri	B	0.943064182
120	btri	B	0.937888199
0	btri	C	0.007261411
4	btri	C	0.036307054
8	btri	C	0.420124481
12	btri	C	0.828838174
16	btri	C	1
24	btri	C	0.728215768
28	btri	C	0.679460581
32	btri	C	0.682572614
38	btri	C	0.892116183
48	btri	C	0.93879668
62	btri	C	0.950207469
72	btri	C	0.951244813
96	btri	C	0.939834025
120	btri	C	0.936721992
0	bhbt	A	0.005872483
4	bhbt	A	0.031879195
8	bhbt	A	0.38590604
12	bhbt	A	0.77852349
16	bhbt	A	1
20	bhbt	A	0.870805369
24	bhbt	A	0.713087248
28	bhbt	A	0.654362416
32	bhbt	A	0.644295302
36	bhbt	A	0.726510067
40	bhbt	A	0.775167785
44	bhbt	A	0.820469799
48	bhbt	A	0.822147651
60	bhbt	A	0.85738255
72	bhbt	A	0.840604027
96	bhbt	A	0.845637584
120	bhbt	A	0.832214765
0	bhbt	B	0.005067568
4	bhbt	B	0.03125
8	bhbt	B	0.375
12	bhbt	B	0.788851351
16	bhbt	B	1
20	bhbt	B	0.878378378
24	bhbt	B	0.722972973
28	bhbt	B	0.646959459
32	bhbt	B	0.640202703
36	bhbt	B	0.717905405
40	bhbt	B	0.797297297
44	bhbt	B	0.815878378
48	bhbt	B	0.824324324
60	bhbt	B	0.837837838
72	bhbt	B	0.844594595
96	bhbt	B	0.844594595
120	bhbt	B	0.827702703
0	bhbt	C	0.010869565
4	bhbt	C	0.031772575
8	bhbt	C	0.386287625
12	bhbt	C	0.777591973
16	bhbt	C	1
20	bhbt	C	0.866220736
24	bhbt	C	0.710702341
28	bhbt	C	0.650501672
32	bhbt	C	0.638795987
36	bhbt	C	0.730769231
40	bhbt	C	0.797658863
44	bhbt	C	0.821070234
48	bhbt	C	0.827759197
60	bhbt	C	0.856187291
72	bhbt	C	0.839464883
96	bhbt	C	0.829431438
120	bhbt	C	0.827759197
0	bhbtri	A	0.000769231
4	bhbtri	A	0.016923077
8	bhbtri	A	0.273076923
12	bhbtri	A	0.742307692
16	bhbtri	A	1
20	bhbtri	A	0.984615385
24	bhbtri	A	0.742307692
28	bhbtri	A	0.723076923
32	bhbtri	A	0.646153846
36	bhbtri	A	0.661538462
40	bhbtri	A	0.692307692
44	bhbtri	A	0.688461538
48	bhbtri	A	0.723076923
60	bhbtri	A	0.734615385
72	bhbtri	A	0.784615385
96	bhbtri	A	0.788461538
120	bhbtri	A	0.761538462
0	bhbtri	B	0.000775194
4	bhbtri	B	0.018604651
8	bhbtri	B	0.255813953
12	bhbtri	B	0.782945736
16	bhbtri	B	0.988372093
20	bhbtri	B	1
24	bhbtri	B	0.763565891
28	bhbtri	B	0.604651163
32	bhbtri	B	0.682170543
36	bhbtri	B	0.682170543
40	bhbtri	B	0.69379845
44	bhbtri	B	0.713178295
48	bhbtri	B	0.728682171
60	bhbtri	B	0.728682171
72	bhbtri	B	0.779069767
96	bhbtri	B	0.740310078
120	bhbtri	B	0.790697674
