time	experiment	replicate	live_bh
0	bhbtri	A	0.00678
0	bhbtri	B	0.00727
0	bhbtri	C	0.00732
0	bhbtri	D	0.00677
0	bhbtri	E	0.00598
0	bhbtri	F	0.00652
4	bhbtri	A	0.01556
4	bhbtri	B	0.01531
4	bhbtri	C	0.01532
4	bhbtri	D	0.01408
4	bhbtri	E	0.01759
4	bhbtri	F	0.01758
8	bhbtri	A	0.0612
8	bhbtri	B	0.0556
8	bhbtri	C	0.0489
8	bhbtri	D	0.0657
8	bhbtri	E	0.072
8	bhbtri	F	0.0666
12	bhbtri	A	0.3224
12	bhbtri	B	0.2793
12	bhbtri	C	0.1865
12	bhbtri	D	0.195
12	bhbtri	E	0.2885
12	bhbtri	F	0.424
16	bhbtri	A	0.2747
16	bhbtri	B	0.2645
16	bhbtri	C	0.2038
16	bhbtri	D	0.3004
16	bhbtri	E	0.5702
16	bhbtri	F	0.6049
20	bhbtri	A	0.2981
20	bhbtri	B	0.2046
20	bhbtri	C	0.3652
20	bhbtri	D	0.1904
20	bhbtri	E	0.1579
20	bhbtri	F	0.2809
24	bhbtri	A	0.2787
24	bhbtri	B	0.3101
24	bhbtri	C	0.3991
24	bhbtri	D	0.4301
24	bhbtri	E	0.2308
24	bhbtri	F	0.2731
28	bhbtri	A	0.6264
28	bhbtri	B	0.3586
28	bhbtri	C	0.475
28	bhbtri	D	0.3309
28	bhbtri	E	0.224
28	bhbtri	F	0.1619
32	bhbtri	A	0.0319
32	bhbtri	B	0.0267
32	bhbtri	C	0.0048
32	bhbtri	D	0.0158
32	bhbtri	E	0.0124
32	bhbtri	F	0.0083
36	bhbtri	A	0.0213
36	bhbtri	B	0.0096
36	bhbtri	C	0.0105
36	bhbtri	D	0.0053
36	bhbtri	E	0.0017
36	bhbtri	F	0.0034
40	bhbtri	A	0.0215
40	bhbtri	B	0.0454
40	bhbtri	C	0.0089
40	bhbtri	D	0.0431
40	bhbtri	E	0.0186
40	bhbtri	F	0.0127
44	bhbtri	A	0.0683
44	bhbtri	B	0.0705
44	bhbtri	C	0.0325
44	bhbtri	D	0.1101
44	bhbtri	E	0.0114
44	bhbtri	F	0.0159
48	bhbtri	A	0.104
48	bhbtri	B	0.1384
48	bhbtri	C	0.0649
48	bhbtri	D	0.1388
48	bhbtri	E	0.036
48	bhbtri	F	0.0997
60	bhbtri	A	0.0533
60	bhbtri	B	0.1003
60	bhbtri	C	0.1053
60	bhbtri	D	0.0834
60	bhbtri	E	0.0561
60	bhbtri	F	0.0503
72	bhbtri	A	0.1058
72	bhbtri	B	0.4564
72	bhbtri	C	0.1384
72	bhbtri	D	0.065
72	bhbtri	E	0.0506
72	bhbtri	F	0.0162
96	bhbtri	A	0.1574
96	bhbtri	B	0.2118
96	bhbtri	C	0.1795
96	bhbtri	D	0.1514
96	bhbtri	E	0.1371
96	bhbtri	F	0.0311
120	bhbtri	A	0.2209
120	bhbtri	B	0.2344
120	bhbtri	C	0.2136
120	bhbtri	D	0.1809
120	bhbtri	E	0.2054
120	bhbtri	F	0.0597
