time	experiment	replicate	live_ri
0	bhbtri	A	0.0044
0	bhbtri	B	0.00482
0	bhbtri	C	0.00468
0	bhbtri	D	0.00423
0	bhbtri	E	0.00333
0	bhbtri	F	0.00254
4	bhbtri	A	0.04342
4	bhbtri	B	0.04517
4	bhbtri	C	0.0425
4	bhbtri	D	0.03551
4	bhbtri	E	0.02438
4	bhbtri	F	0.00566
8	bhbtri	A	0.6209
8	bhbtri	B	0.5483
8	bhbtri	C	0.4453
8	bhbtri	D	0.5762
8	bhbtri	E	0.404
8	bhbtri	F	0.0818
12	bhbtri	A	2.2334
12	bhbtri	B	2.2947
12	bhbtri	C	2.2917
12	bhbtri	D	1.8741
12	bhbtri	E	2.3112
12	bhbtri	F	0.838
16	bhbtri	A	3.8052
16	bhbtri	B	3.6589
16	bhbtri	C	4.1664
16	bhbtri	D	4.8748
16	bhbtri	E	3.6243
16	bhbtri	F	0.8934
20	bhbtri	A	4.0416
20	bhbtri	B	4.6244
20	bhbtri	C	5.1285
20	bhbtri	D	3.547
20	bhbtri	E	2.8162
20	bhbtri	F	1.881
24	bhbtri	A	3.0618
24	bhbtri	B	2.9456
24	bhbtri	C	2.7647
24	bhbtri	D	2.8358
24	bhbtri	E	3.012
24	bhbtri	F	2.0365
28	bhbtri	A	1.1094
28	bhbtri	B	1.4451
28	bhbtri	C	2.4723
28	bhbtri	D	2.0404
28	bhbtri	E	2.2043
28	bhbtri	F	2.2401
32	bhbtri	A	0.4052
32	bhbtri	B	0.6695
32	bhbtri	C	0.4742
32	bhbtri	D	0.4944
32	bhbtri	E	0.695
32	bhbtri	F	0.1995
36	bhbtri	A	0.2196
36	bhbtri	B	0.2534
36	bhbtri	C	0.2834
36	bhbtri	D	0.2849
36	bhbtri	E	0.2074
36	bhbtri	F	0.0813
40	bhbtri	A	0.236
40	bhbtri	B	0.2397
40	bhbtri	C	0.2321
40	bhbtri	D	0.203
40	bhbtri	E	0.1317
40	bhbtri	F	0.4796
44	bhbtri	A	0.1339
44	bhbtri	B	0.2387
44	bhbtri	C	0.2239
44	bhbtri	D	0.1505
44	bhbtri	E	0.1763
44	bhbtri	F	0.0862
48	bhbtri	A	0.1872
48	bhbtri	B	0.1419
48	bhbtri	C	0.1829
48	bhbtri	D	0.2727
48	bhbtri	E	0.1308
48	bhbtri	F	0.0028
60	bhbtri	A	0.3728
60	bhbtri	B	0.4224
60	bhbtri	C	0.3237
60	bhbtri	D	0.2537
60	bhbtri	E	0.2606
60	bhbtri	F	0.1891
72	bhbtri	A	0.235
72	bhbtri	B	0.2157
72	bhbtri	C	0.2004
72	bhbtri	D	0.1577
72	bhbtri	E	0.1129
72	bhbtri	F	0.052
96	bhbtri	A	0.0474
96	bhbtri	B	0.0466
96	bhbtri	C	0.0483
96	bhbtri	D	0.0493
96	bhbtri	E	0.0586
96	bhbtri	F	0.0146
120	bhbtri	A	0.0945
120	bhbtri	B	0.1029
120	bhbtri	C	0.0836
120	bhbtri	D	0.0999
120	bhbtri	E	0.0646
120	bhbtri	F	0.0475
