time	experiment	replicate	live
0	btri	A	0.00895
4	btri	A	0.0936
8	btri	A	1.71735
12	btri	A	4.36605
16	btri	A	8.94015
24	btri	A	8.7902
28	btri	A	6.6614
32	btri	A	5.7754
38	btri	A	4.32555
48	btri	A	4.59195
62	btri	A	3.5159
72	btri	A	3.96805
96	btri	A	3.2269
120	btri	A	2.288
0	btri	B	0.00822
4	btri	B	0.09859
8	btri	B	1.87515
12	btri	B	4.70075
16	btri	B	6.37945
24	btri	B	9.2258
28	btri	B	6.3865
32	btri	B	7.141
38	btri	B	3.8951
48	btri	B	4.3282
62	btri	B	2.40055
72	btri	B	3.6699
96	btri	B	2.4789
120	btri	B	2.4564
0	btri	C	0.00756
4	btri	C	0.11519
8	btri	C	1.39925
12	btri	C	3.8211
16	btri	C	9.48755
24	btri	C	8.6479
28	btri	C	5.6269
32	btri	C	8.0508
38	btri	C	3.3317
48	btri	C	4.2851
62	btri	C	3.40345
72	btri	C	2.43715
96	btri	C	3.0468
120	btri	C	2.26495
0	bhri	A	0.02577
4	bhri	A	0.12839
8	bhri	A	1.11989
12	bhri	A	3.9941
16	bhri	A	7.4783
20	bhri	A	9.0857
24	bhri	A	8.2787
28	bhri	A	5.6473
32	bhri	A	7.4256
36	bhri	A	5.623
48	bhri	A	3.4241
60	bhri	A	3.4872
72	bhri	A	2.9093
96	bhri	A	2.7877
120	bhri	A	1.4512
0	bhri	B	0.01144
4	bhri	B	0.13935
8	bhri	B	1.47699
12	bhri	B	4.892
16	bhri	B	7.1938
20	bhri	B	9.4804
24	bhri	B	7.3467
28	bhri	B	8.9494
32	bhri	B	5.6347
36	bhri	B	1.932
48	bhri	B	2.4788
60	bhri	B	2.5196
72	bhri	B	2.205
96	bhri	B	1.7712
120	bhri	B	1.2628
0	bhri	C	0.02644
4	bhri	C	0.1335
8	bhri	C	0.9512
12	bhri	C	4.1565
16	bhri	C	12.8203
20	bhri	C	9.416
24	bhri	C	7.3655
28	bhri	C	7.3419
32	bhri	C	6.8478
36	bhri	C	4.9131
48	bhri	C	1.5099
60	bhri	C	3.517
72	bhri	C	2.4671
96	bhri	C	2.1951
120	bhri	C	0.9775
0	bhbtri	A	0.01206
4	bhbtri	A	0.08473
8	bhbtri	A	0.976
12	bhbtri	A	1.7307
16	bhbtri	A	6.365
20	bhbtri	A	6.7819
24	bhbtri	A	7.905
28	bhbtri	A	7.0896
32	bhbtri	A	5.4604
36	bhbtri	A	4.0475
40	bhbtri	A	2.8
44	bhbtri	A	2.0207
48	bhbtri	A	1.8851
60	bhbtri	A	2.2136
72	bhbtri	A	2.4229
96	bhbtri	A	2.2356
120	bhbtri	A	2.7463
0	bhbtri	B	0.01178
4	bhbtri	B	0.10088
8	bhbtri	B	1.0659
12	bhbtri	B	1.3196
16	bhbtri	B	7.2837
20	bhbtri	B	8.3861
24	bhbtri	B	7.6269
28	bhbtri	B	6.0293
32	bhbtri	B	4.7287
36	bhbtri	B	3.4303
40	bhbtri	B	1.7679
44	bhbtri	B	2.2208
48	bhbtri	B	2.0848
60	bhbtri	B	2.0897
72	bhbtri	B	1.335
96	bhbtri	B	2.4509
120	bhbtri	B	2.1872
